Music,Type,Duration (s),Sampling Rate (Hz),RMS Energy,Spectral Centroid,Spectral Bandwidth,Zero Crossing Rate
MyNameIsMud,bass_filtered,283.0977272727273,22000,0.07452692,257.5959705708293,267.5156290355416,0.015599712931565968
MyNameIsMud,guitar,283.0977272727273,22000,0.040200178,2253.7204626290595,1890.1937213563717,0.13645953747944925
Selfesteem,bass_filtered,257.8808181818182,22000,0.07808468,235.8581304355936,209.2031741344871,0.014331788365219745
Selfesteem,guitar,257.8808181818182,22000,0.08932838,2315.921336139365,1897.624472504687,0.154047688963654
Lauren,bass_filtered,229.3435,22000,0.1423686,240.6448407827543,182.08557841502991,0.015717007943302892
Lauren,guitar,229.3435,22000,0.08575002,752.356682955607,1142.6844948236558,0.03660558567985794
Limelight,bass_filtered,260.853,22000,0.05623508,251.71162285380626,234.42992599259404,0.013748935356075475
Limelight,guitar,260.853,22000,0.068444796,1787.4386129833665,1366.9807456121969,0.1302970391398653
RUMine,bass_filtered,201.08481818181818,22000,0.10910154,294.47864098718594,273.64316090319863,0.01812234866841222
RUMine,guitar,201.08481818181818,22000,0.09064516,1645.6632217945794,1699.2758169450724,0.07171089093782548
DontFearTheReaper,bass_filtered,308.98795454545456,22000,0.060940836,195.62403797905586,185.0774201987751,0.011951692188559163
DontFearTheReaper,guitar,308.98795454545456,22000,0.07393313,1660.6722599314105,1421.0310201582,0.11928842965042931
DanceDance,bass_filtered,180.30295454545455,22000,0.12510459,211.22197970350337,196.89359693511875,0.012768037921076407
DanceDance,guitar,180.30295454545455,22000,0.10691487,1881.2640169677939,1747.6705000692664,0.10533918027232834
santeria,bass_filtered,183.22868181818183,22000,0.11788161,154.58193331891596,126.43969708013161,0.01024733299466599
santeria,guitar,183.22868181818183,22000,0.044199057,1658.5621625048852,1600.6594353952821,0.0992980755492761
SmellsLikeTeenSpirit,bass_filtered,278.40727272727275,22000,0.097182766,185.5842672764989,155.93029489567374,0.012246826804522278
SmellsLikeTeenSpirit,guitar,278.40727272727275,22000,0.07150694,2191.153287739194,1595.2522313006336,0.15934225744221767
IfYouWantMeToStay,bass_filtered,247.3854090909091,22000,0.09732366,233.26251970877686,205.98156816982635,0.013959699112182502
IfYouWantMeToStay,guitar,247.3854090909091,22000,0.04656014,1820.7173913942672,1425.3880131428446,0.13037384980597366
MiseryBusiness,bass_filtered,211.55704545454546,22000,0.1413897,166.66218522992426,159.8337103825973,0.010563278156280937
MiseryBusiness,guitar,211.55704545454546,22000,0.09777187,1839.7546841064848,1607.6010196055136,0.11652304863670113
FairiesWearBoots,bass_filtered,374.37536363636366,22000,0.07268847,219.45106384473726,189.57456500722606,0.013771340261158078
FairiesWearBoots,guitar,374.37536363636366,22000,0.052527744,1694.8553415087456,1491.3064500768812,0.1010129066268571
Paranoid,bass_filtered,166.7425,22000,0.070046134,210.55307648940496,208.98333681456197,0.011255138367934403
Paranoid,guitar,166.7425,22000,0.04199796,1664.742860647532,1514.7925489603288,0.08884449417742499
Rooster,bass_filtered,377.3475,22000,0.08440959,178.35541405666925,148.0377917833597,0.011693575585877275
Rooster,guitar,377.3475,22000,0.065904275,1763.747592433616,1526.948509073586,0.10783544605689177
ICouldHaveLied,bass_filtered,244.4365,22000,0.053925175,180.11326715497125,164.0285803401573,0.012375400888947067
ICouldHaveLied,guitar,244.4365,22000,0.040043157,1348.8492194469695,1603.3567128049774,0.06404582108601485
OutOfTheBlack,bass_filtered,250.33436363636363,22000,0.15279455,278.8268079200756,264.3919702363297,0.01647519129985126
OutOfTheBlack,guitar,250.33436363636363,22000,0.0945559,1952.775696545526,1510.8173037468869,0.12880225703321094
WhenIComeAround,bass_filtered,178.05063636363636,22000,0.12146572,235.27331192322225,189.42303447878305,0.015805480901189387
WhenIComeAround,guitar,178.05063636363636,22000,0.119444385,1584.9428577685253,1558.9937609974793,0.08721873570448307
yyz,bass_filtered,266.24,22000,0.029116655,339.72134570912795,287.99913033333934,0.021940306176798357
yyz,guitar,266.24,22000,0.06976224,1901.1215993593885,1660.0973370656372,0.120501931444476
WetSand,bass_filtered,309.8470909090909,22000,0.12895285,233.9771884603309,196.49073314269353,0.015763775443142558
WetSand,guitar,309.8470909090909,22000,0.074306525,1711.223901945106,1536.552618352723,0.11692260173736292
ByTheWay,bass_filtered,217.01372727272727,22000,0.099568985,291.5193039154577,251.59723259158244,0.017605405914879357
ByTheWay,guitar,217.01372727272727,22000,0.0764848,1637.6856345935103,1278.0442126005548,0.11749235506032171
DontCry,bass_filtered,283.7710909090909,22000,0.062523924,170.68717509263362,157.31114436907458,0.01205206582130556
