,Music,Type,Duration (s),Sampling Rate (Hz),RMS Energy,Spectral Centroid,Spectral Bandwidth,Zero Crossing Rate,Cluster
0,MyNameIsMud,bass,283.0977272727273,22000,0.07452692,257.5959705708293,267.5156290355416,0.015599712931565968,5
2,Selfesteem,bass,257.8808181818182,22000,0.07808468,235.8581304355936,209.2031741344871,0.014331788365219745,0
4,Lauren,bass,229.3435,22000,0.1423686,240.6448407827543,182.08557841502991,0.015717007943302892,1
6,Limelight,bass,260.853,22000,0.05623508,251.71162285380626,234.42992599259404,0.013748935356075475,0
8,RUMine,bass,201.08481818181818,22000,0.10910154,294.47864098718594,273.64316090319863,0.01812234866841222,5
10,DontFearTheReaper,bass,308.98795454545456,22000,0.060940836,195.62403797905586,185.0774201987751,0.011951692188559163,0
12,DanceDance,bass,180.30295454545455,22000,0.12510459,211.22197970350337,196.89359693511875,0.012768037921076407,1
14,santeria,bass,183.22868181818183,22000,0.11788161,154.58193331891596,126.43969708013161,0.01024733299466599,2
16,SmellsLikeTeenSpirit,bass,278.40727272727275,22000,0.097182766,185.5842672764989,155.93029489567374,0.012246826804522278,2
18,IfYouWantMeToStay,bass,247.3854090909091,22000,0.09732366,233.26251970877686,205.98156816982635,0.013959699112182502,1
20,MiseryBusiness,bass,211.55704545454546,22000,0.1413897,166.66218522992426,159.8337103825973,0.010563278156280937,2
22,FairiesWearBoots,bass,374.37536363636366,22000,0.07268847,219.45106384473726,189.57456500722606,0.013771340261158078,0
24,Paranoid,bass,166.7425,22000,0.070046134,210.55307648940496,208.98333681456197,0.011255138367934403,0
26,Rooster,bass,377.3475,22000,0.08440959,178.35541405666925,148.0377917833597,0.011693575585877275,2
28,ICouldHaveLied,bass,244.4365,22000,0.053925175,180.11326715497125,164.0285803401573,0.012375400888947067,0
30,OutOfTheBlack,bass,250.33436363636363,22000,0.15279455,278.8268079200756,264.3919702363297,0.01647519129985126,5
32,WhenIComeAround,bass,178.05063636363636,22000,0.12146572,235.27331192322225,189.42303447878305,0.015805480901189387,1
34,yyz,bass,266.24,22000,0.029116655,339.72134570912795,287.99913033333934,0.021940306176798357,3
36,WetSand,bass,309.8470909090909,22000,0.12895285,233.9771884603309,196.49073314269353,0.015763775443142558,1
38,ByTheWay,bass,217.01372727272727,22000,0.099568985,291.5193039154577,251.59723259158244,0.017605405914879357,5
40,DontCry,bass,283.7710909090909,22000,0.062523924,170.68717509263362,157.31114436907458,0.01205206582130556,0
42,BasketCase,bass,181.58004545454546,22000,0.0904579,254.05415619122968,218.84445374803366,0.01729121361575676,1
44,tangerine,bass,190.3804090909091,22000,0.048755158,284.34372008691855,240.25555334202375,0.019010858334097297,4
46,HotForTeacher,bass,282.79586363636366,22000,0.07715231,298.0260404075617,228.39525633173054,0.021082242120638577,4
48,vanhalen,bass,227.85745454545454,22000,0.06781397,241.08610979962626,218.81500095804128,0.013869860554335615,0
50,DaniCalifornia,bass,287.67204545454547,22000,0.0626104,208.4840591796644,181.65439470501767,0.013083970312373594,0
52,IslandInTheSun,bass,200.365,22000,0.1259359,159.7186596710448,157.996655962702,0.009822335946573751,2
54,UnderTheBridge,bass,264.68427272727274,22000,0.069274,236.79935775490893,199.15742630024363,0.017042835839963952,0
56,Anesthesia,bass,268.6781363636364,22000,0.016910473,366.91528211970507,314.10454127696477,0.023816578808466868,3
58,LookYourBack,bass,298.51577272727275,22000,0.0794886,222.6977626292119,190.84007851494786,0.014190533457258127,0
60,StairwayToHeaven,bass,482.88218181818183,22000,0.02807233,277.83741990931577,226.74595500698322,0.02021165270766061,4
