,Music,Type,Duration (s),Sampling Rate (Hz),RMS Energy,Spectral Centroid,Spectral Bandwidth,Zero Crossing Rate,Cluster
1,MyNameIsMud,guitar,283.0977272727273,22000,0.040200178,2253.7204626290595,1890.1937213563717,0.13645953747944925,1
3,Selfesteem,guitar,257.8808181818182,22000,0.08932838,2315.921336139365,1897.624472504687,0.154047688963654,1
5,Lauren,guitar,229.3435,22000,0.08575002,752.356682955607,1142.6844948236558,0.03660558567985794,2
7,Limelight,guitar,260.853,22000,0.068444796,1787.4386129833665,1366.9807456121969,0.1302970391398653,0
9,RUMine,guitar,201.08481818181818,22000,0.09064516,1645.6632217945794,1699.2758169450724,0.07171089093782548,3
11,DontFearTheReaper,guitar,308.98795454545456,22000,0.07393313,1660.6722599314105,1421.0310201582,0.11928842965042931,0
13,DanceDance,guitar,180.30295454545455,22000,0.10691487,1881.2640169677939,1747.6705000692664,0.10533918027232834,3
15,santeria,guitar,183.22868181818183,22000,0.044199057,1658.5621625048852,1600.6594353952821,0.0992980755492761,0
17,SmellsLikeTeenSpirit,guitar,278.40727272727275,22000,0.07150694,2191.153287739194,1595.2522313006336,0.15934225744221767,1
19,IfYouWantMeToStay,guitar,247.3854090909091,22000,0.04656014,1820.7173913942672,1425.3880131428446,0.13037384980597366,0
21,MiseryBusiness,guitar,211.55704545454546,22000,0.09777187,1839.7546841064848,1607.6010196055136,0.11652304863670113,3
23,FairiesWearBoots,guitar,374.37536363636366,22000,0.052527744,1694.8553415087456,1491.3064500768812,0.1010129066268571,0
25,Paranoid,guitar,166.7425,22000,0.04199796,1664.742860647532,1514.7925489603288,0.08884449417742499,0
27,Rooster,guitar,377.3475,22000,0.065904275,1763.747592433616,1526.948509073586,0.10783544605689177,0
29,ICouldHaveLied,guitar,244.4365,22000,0.040043157,1348.8492194469695,1603.3567128049774,0.06404582108601485,0
31,OutOfTheBlack,guitar,250.33436363636363,22000,0.0945559,1952.775696545526,1510.8173037468869,0.12880225703321094,3
33,WhenIComeAround,guitar,178.05063636363636,22000,0.119444385,1584.9428577685253,1558.9937609974793,0.08721873570448307,3
35,yyz,guitar,266.24,22000,0.06976224,1901.1215993593885,1660.0973370656372,0.120501931444476,1
37,WetSand,guitar,309.8470909090909,22000,0.074306525,1711.223901945106,1536.552618352723,0.11692260173736292,0
39,ByTheWay,guitar,217.01372727272727,22000,0.0764848,1637.6856345935103,1278.0442126005548,0.11749235506032171,0
41,DontCry,guitar,283.7710909090909,22000,0.07550095,1626.7839208353728,1383.8471408910889,0.1198426544304576,0
43,BasketCase,guitar,181.58004545454546,22000,0.120720744,1828.8703728565254,1510.533375059927,0.11986287825996411,3
45,tangerine,guitar,190.3804090909091,22000,0.039162822,1811.4858754057848,2003.624881053034,0.09772757332156827,1
47,HotForTeacher,guitar,282.79586363636366,22000,0.087643795,2070.051700181534,1675.4858260096025,0.1315157741524029,1
49,vanhalen,guitar,227.85745454545454,22000,0.07697534,2238.824805065997,1675.0766533368212,0.1500078695517567,1
51,DaniCalifornia,guitar,287.67204545454547,22000,0.050752267,1768.6097914329207,1602.058811804712,0.10737139175127416,0
53,IslandInTheSun,guitar,200.365,22000,0.10001193,1611.7573841321348,1484.2181862071848,0.1071593600283101,3
55,UnderTheBridge,guitar,264.68427272727274,22000,0.05879681,1561.137657198958,1456.6590291934713,0.10147084530782927,0
57,Anesthesia,guitar,268.6781363636364,22000,0.14128987,1892.5213535891041,1501.8491240438734,0.10143642235545691,3
59,LookYourBack,guitar,298.51577272727275,22000,0.07297626,2141.1137789548598,1743.5890290880238,0.14086615239095268,1
61,StairwayToHeaven,guitar,482.88218181818183,22000,0.05906284,1266.5820553996966,1434.090633366504,0.07237799393193647,0
