Music,Type,MFCC Similarity,Pitch Similarity
MyNameIsMud,bass,0.9972676634788513,0.8363801836967468
Selfesteem,other,0.9667456150054932,0.9149103164672852
Lauren,bass,0.9980652928352356,0.9570420384407043
Limelight,bass,0.9930994510650635,0.6160135865211487
RUMine,other,0.9919672012329102,0.913878858089447
DontFearTheReaper,bass,0.9945807456970215,0.9328875541687012
DanceDance,other,0.9911767840385437,0.9022183418273926
santeria,other,0.9817713499069214,0.8746520280838013
SmellsLikeTeenSpirit,other,0.9782009720802307,0.949018657207489
IfYouWantMeToStay,bass,0.998533308506012,0.8365100622177124
MiseryBusiness,other,0.9879056811332703,0.9838947653770447
FairiesWearBoots,other,0.9860228896141052,0.7920663952827454
Paranoid,other,0.9636797904968262,0.8119837641716003
Rooster,other,0.9963482618331909,0.9113724827766418
ICouldHaveLied,other,0.9929425120353699,0.8851373195648193
OutOfTheBlack,bass,0.9945017099380493,0.9287948608398438
WhenIComeAround,bass,0.9966383576393127,0.6062817573547363
yyz,bass,0.9363110065460205,0.3258304297924042
WetSand,bass,0.9961220026016235,0.6577901244163513
ByTheWay,bass,0.9902574419975281,0.7099288105964661
DontCry,other,0.9887324571609497,0.9746536016464233
BasketCase,other,0.9973070621490479,0.9771749377250671
tangerine,other,0.9976370930671692,0.7648410797119141
HotForTeacher,other,0.9770718216896057,0.9191758632659912
vanhalen,other,0.9869542121887207,0.928783655166626
DaniCalifornia,bass,0.9977865815162659,0.8271707892417908
IslandInTheSun,other,0.9892118573188782,0.8960654735565186
UnderTheBridge,bass,0.9964764714241028,0.12761662900447845
Anesthesia,other,0.9657198190689087,0.8068671226501465
LookYourBack,bass,0.990492582321167,0.846902072429657
StairwayToHeaven,other,0.9815608859062195,0.7122315168380737
